iter	RMSE
890	61424.68448
891	61406.06207
892	61381.18328
893	61373.31688
894	61365.79726
895	61363.25249
896	61354.89035
897	61343.68661
898	61332.73345
899	61324.51477
900	61321.22746
901	61292.52965
902	61286.11223
903	61282.78667
904	61280.41052
905	61275.68316
906	61272.09738
907	61261.6982
908	61254.08063
909	61244.89363
910	61242.7422
911	61238.81287
912	61235.77465
913	61222.25119
914	61202.97213
915	61196.65962
916	61187.07679
917	61181.73298
918	61174.98927
919	61164.77794
920	61155.9803
921	61149.22167
922	61144.71568
923	61141.62895
924	61132.8317
925	61097.91703
926	61093.40891
927	61085.95772
928	61078.06805
929	61067.61659
930	61063.49026
931	61053.69472
932	61050.02267
933	61047.79934
934	61043.8521
935	61028.85231
936	61026.79626
937	61009.61863
938	60989.78834
939	60978.98124
940	60976.76853
941	60961.32432
942	60958.40766
943	60949.67393
944	60942.59449
945	60938.68768
946	60927.9814
947	60924.44296
948	60915.60942
949	60909.18359
950	60899.05548
951	60891.08412
952	60882.36735
953	60874.26688
954	60863.02367
955	60837.72285
956	60826.42578
957	60818.67304
958	60810.33104
959	60804.03141
960	60797.50635
961	60792.85795
962	60784.48795
963	60772.41325
964	60744.97684
965	60741.12143
966	60733.02138
967	60728.86988
968	60721.6935
969	60710.7067
970	60704.8537
971	60696.84189
972	60691.22273
973	60683.34537
974	60676.02452
975	60667.12072
976	60656.42609
977	60654.29142
978	60643.19349
979	60633.66214
980	60625.99383
981	60593.16989
982	60585.77976
983	60582.07187
984	60578.58477
985	60570.97968
986	60563.22499
987	60553.90889
988	60527.7532
989	60519.94016
990	60513.13776
991	60505.85844
992	60498.62813
993	60492.26225
994	60482.99768
995	60482.09883
996	60464.16191
997	60462.24158
998	60451.81178
999	60439.04534
